id;npc_id;condition_memory_min;condition_memory_max;condition_fragments;text
1;101;0;100;0;"you?"
2;102;0;100;0;"They told me keep silent."
3;102;0;100;0;"You are antivirus, aren't you?"
4;102;0;100;0;"Don't tell them. They will DELETE me."
5;103;0;100;0;"Will you press the buttons again?"
6;103;0;100;0;"Incorrect. Security activated."
7;103;0;100;0;"Access applied."
8;103;0;100;0;"You forgot. Again."
9;104;0;100;0;"MEMORY +5%. not_malware was given."
10;104;0;100;5;"R€д EYE. $CrEÂMm. ХAÑÐ CÇĽĘNCHÏŃĞ. DaŘkNE$$. SIŁĒнĆE. STOP. YOU'VE SEEN THAT."
