id;location_id;type;symbol;x;y;ref_id;special_condition
1;1;player;@;1;13;;
2;1;npc;$;1;1;101;
3;1;item;?;18;13;1;
4;1;exit;e;37;7;;
5;2;npc;$;15;10;102;
6;2;item;?;3;5;12;
7;2;item;?;8;12;13;
8;2;item;?;17;5;14;
9;2;item;+;20;15;3;chance=20%
10;3;boss;&;30;15;201;
11;4;puzzle;#;15;10;301;
12;5;boss;%;15;10;202;
13;5;trap;?;5;5;;
14;5;trap;?;25;5;;
15;5;item;+;10;3;6;chance=10%
16;5;item;+;20;17;7;chance=5%
17;6;npc;$;15;10;104;
18;6;item;?;5;5;15;
19;6;item;?;8;8;16;
20;6;item;?;12;12;14;
21;6;item;?;18;8;15;
22;6;item;?;22;12;16;
23;7;boss;@;20;15;203;
24;7;item;+;10;5;8;chance=10%
25;2;exit;exit;1;1;;
